DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
1, comb, up, 0, -2.5, 2.5, 70, 100, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))+0.010394228622317314"
1, comb, up, 0, -2.5, 2.5, 100, 140, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))+0.010765131562948227"
1, comb, up, 0, -2.5, 2.5, 140, 200, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))+0.012417851947247982"
1, comb, up, 0, -2.5, 2.5, 200, 300, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))+0.02767125703394413"
1, comb, up, 0, -2.5, 2.5, 300, 600, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))+0.045357488095760345"
1, comb, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.841073+0.0062414*log(x+19)*log(x+18)*(3-0.425863*log(x+18))+0.1036466509103775"
2, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.24751+-0.0101816*log(x+19)*log(x+18)*(3-0.370828*log(x+18))"
2, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.24751+-0.0101816*log(x+19)*log(x+18)*(3-0.370828*log(x+18))"
2, mujets, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.24751+-0.0101816*log(x+19)*log(x+18)*(3-0.370828*log(x+18))-0.22386409342288971"
2, mujets, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.24751+-0.0101816*log(x+19)*log(x+18)*(3-0.370828*log(x+18))-0.085640758275985718"
2, mujets, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.24751+-0.0101816*log(x+19)*log(x+18)*(3-0.370828*log(x+18))-0.073980927467346191"
2, mujets, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.24751+-0.0101816*log(x+19)*log(x+18)*(3-0.370828*log(x+18))-0.07738717645406723"
2, mujets, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.24751+-0.0101816*log(x+19)*log(x+18)*(3-0.370828*log(x+18))-0.099772818386554718"
2, mujets, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.24751+-0.0101816*log(x+19)*log(x+18)*(3-0.370828*log(x+18))-0.25559696555137634"
2, mujets, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.24751+-0.0101816*log(x+19)*log(x+18)*(3-0.370828*log(x+18))-0.30520960688591003"
